# Generated by generate-license-hashes.py from OE-core common-licenses
# Format: exact_md5,crunched_md5,spdx_id
73f709359181c00178478e8a3b20cda4,6d022a43817ca2613a8f748735e225e4,CNRI-Jython
504de64ba3e2c39bb65485686b0e3a33,1b3172bfd79842bbca6216240fa72a46,CNRI-Python
efc38ad5089e7c3314adca7c4eb8351b,514ddef779190c50b8a328abbd0cc9a6,CNRI-Python-GPL-Compatible
427bb5cb3253b5fa3fc15b6682f99c0c,5f98956e28603753fdaf349fe5c31a2a,COIL-1.0
4b571d5d786c50fbe70381b8c504be7d,72bd71fbdd47cb6da39f9f02d6f44213,CPAL-1.0
5295cd12fc5acc87bf1cf754455a1c56,eb33e9ee7af69908a385ce50cd475df0,CPL-1.0
634398b133bc1f789f32b278f56fc7df,4e8a42a5254c68ec7a136a47360f6db4,CPOL-1.02
0bdd9acccdaec449aedffb518252fa12,522ecc170ae6a8a655d32fa5adcbc0e4,CUA-OPL-1.0
9844d8451b9d4eff66d8f8ef4a55a206,6721e1e4d5902f3fb3dd884c82bb69f6,Caldera
f4338c70a1bf12fdb343b98f9aed1966,7ffd0f0205518c9d2f71e31d6a3bf1d5,Caldera-no-preamble
3b9277d8c092ffdd18d853cfade067ff,956099f332e3ecd42eb3c1ed653ef6a1,Catharon
f633bbf0697ec33066b83adfa9ebe51d,314f1f9be0fe41de44b73949cb6e3ed2,ClArtistic
4b8ddf96c3c2d1d2195815235b87f8d8,a7f8df3cf4269bdca142418e0c65ec34,Clips
3aee591f88991b746e1e223889996923,f9753c457b081188a6d94d80276a2a84,Community-Spec-1.0
fc018a7d79dee1e8498e07e632a83895,914baf15c1ea0e3549988efdc68c32db,Condor-1.1
d58c4769ee9a05b2cb7769bb6a445dbb,011fdf1ae7e471000f02784d39a1cefa,Cornell-Lossless-JPEG
33998e7b4461ed0ed0a65aea6479ea2e,59cb0924efe4e943c5ecd6aba177b86e,Cronyx
60c3fab2573aae2a88d7f8c69462de88,e31560d59cd5692a0c69a37af1eba4a8,Crossword
8c12e5d3be190fbd04a7b7d8e6f920ed,281b5f359bc97681ef962bcafe41c7e7,CryptoSwift
d93dee0d11742aa64d04dafeb9ad789d,139f43feb383f71fff152d0b5668ac2d,CrystalStacker
f60e3dd4c8ecd9ef8c12216ad198b70e,bbcf4c29d9de7192eb76a37880ad8faf,Cube
1899cb922af9857069381a10e9360db9,c6cd512f3a4f78900dfcccd90642f2b2,D-FSL-1.0
79d48942e4701601ca9395b06b1b6102,a98b4594d612fe95c2fc325c5bd0c058,DEC-3-Clause
fc27105efcc01e0c3f5676f688f4954c,822f29bb5ba8de43f39b99f03951ef2b,DL-DE-BY-2.0
69bed12dd46176896eff39791e329136,7256535c3149013b0218f72ece146412,DL-DE-ZERO-2.0
ebb580f32931868a8a238b01eeeedf29,cae873e49ab9e9c08471338cda34d570,DOC
466df5bc4f94b4bad27a2c278fa09f56,675b3f1c3fdcb2fb6f6fcf4425656130,DRL-1.0
665db44dcb4c03a4090f22fdcc102b35,57b1a620e17174931f9193fe3ac7939e,DRL-1.1
476efe3fc49aa495b544c2b3da04b8f1,28ad0c16fe32f16593114ec14d43d1bb,DSDP
b597b18461d4ca652c43297c1e22b80c,0d7e1dba04cda3547619e2ba7499e00d,DSSSL
a6d8a177c13ec21ed44824a01f44216a,d6d20beadba5b2cbf8837a6e35a5e291,DocBook-DTD
8d6602a268a9532585452aec0a62038b,8751cb883e5c6855f9450587b1adb12c,DocBook-Schema
05f0782889d413839663a0f07da997bb,ce03b8f566e53684ee142704fb5b55f2,DocBook-Stylesheet
a6eeeed43d498c22a835382533356462,9aa82f0382f331b25b8174d489be42ec,DocBook-XML
ad6660e511dcfe55a177fd53377dea59,db387f3fe9485ca7a9136ff52082936f,Dotseqn
d63919ac66adfeaf1f51e0c9ea9c19f9,c4abad6b281140a2a765a1a6dda01611,ECL-1.0
69e416df0eb517ff13bbb9219da29344,0a3bc94a2309ad04c36fd3ebfd9047d6,ECL-2.0
e06be17b8577bf6e2277a5c3c71b2d05,975742a59ae1b8abdea63a97121f49f4,EDL-1.0
9ef6c560d1e6dd249eb0a55335500690,4b0a2ca1de6fad7855b64242004df84f,EFL-1.0
cf203289aa5ab7db7ddf321cafe3d815,104182b0bf415ebe98ad351bdfee11a4,EFL-2.0
43c7610db53c3693e0ba4467d7874db9,67ddff53c9db82382dce4cdc6aa24d25,EPICS
57f8d5e2b3e98ac6e088986c12bf94e6,5322cee4433d84fb3aafc9e253116447,EPL-1.0
2dd765ca47a05140be15ebafddbeadfe,6922352e87de080f42419bed93063754,EPL-2.0
eb44fbd1496ddcfd5d28b73ee48c849f,087aafe0e6d46b52364dbc7e2f6736c6,EUDatagrid
9b6186c48020a9763693332dc4998bc0,f6768a63a83b42f5d4fc24b5a8b4a11a,EUPL-1.0
3f12b8134016fd7ba5a010afd690abaa,790b14a1824859da7282a35a3bd1c7f8,EUPL-1.1
41fa1e32337666d37d19786aebbf3923,7fe61c6a60890bf5d8a90e5e26369816,EUPL-1.2
42631b1af161defcf4844fb1e26cfc70,a7fea2446b9707ad986a2bb0084438aa,Elastic-2.0
569f0c2c33934ff2511e1b129eb4b77d,b6a4a957367eb851c40d7951b77ba1c5,Entessa
9567c64d58e18a81951c75d00c10fa98,90a7ce5d1cc714db3b3ad6b2205c96b1,ErlPL-1.1
7c1ad6a95981815dbe65a27eefac6bb3,c2a9f6ef9c05e63ad58e02e2893ba20f,Eurosym
7fb655591b2698ed9a93ee05acd4f2a7,2b1279c0fdbcf59bb9bf59b26705de14,FBM
ecb28e9a9909d24005bd1951238ce35e,403edc29888f8ae09a14834014c6bce6,FDK-AAC
06fadd9ae6adbcd5d8d545dac90b15f6,f8001d7ca41107412666073c94a56f8d,FSF-Unlimited
232368338ef6dc99de71c2e05ff12176,166e9e93763912d23516372c22cb6b53,FSFAP
3bdfb6b7141d64fbe01234d27ab9d39f,7c085c03311c4df367ba551f70a53929,FSFAP-no-warranty-disclaimer
dc74327e8d4dca295527a090d2af4ba4,75cc591499e55d5cd775a1d6cda68b7f,FSFUL
f0aa4b452548cc5d53a7772a9a90b3c0,f8001d7ca41107412666073c94a56f8d,FSFULLR
64d4a3ca203a187bd11f47a2c8ddec47,bb577c8ef765114264be58b9b163a81a,FSFULLRSD
546c2b17f1a20be593935a4babd275f2,00d9bcbcaf63b905cf7b2bed0023be30,FSFULLRWD
9dc5a21fee2aa3367ed7e5fc5b1df410,d1ba3f1e105ae21f1c6dc8967f3cabc5,FSL-1.1-ALv2
029bd8c4c146af57c48fd42fcb8a5617,2b47e4f827110eab2052a560b980bec1,FSL-1.1-MIT
f0bf6b09ee8b02121ed10709d9e49d8b,dc1d5ccd80f76155b44da67ece7065c8,FTL
4b962f28acfe06428def53679d1161a5,a3cc38e53861969255464508da42e6bd,Fair
abd020ac7223106584046231a36cc563,5e428a0aea0409f164a1947f10613590,Ferguson-Twofish
f163acc1f7bf0b7978bb29b2b46dd864,6988d5c25075d9554a6e0c178d9cab87,Frameworx-1.0
39ac307a6de92199a3ec5ec7e6eeec03,9692e000a1000db174f8a62efb7e8da6,FreeBSD-DOC
f9cbd56c0b114af37c44d6f127cd9fbe,28711571aec93049406814773976049f,FreeImage
2db647cc1598d0b3cf6c263350bb59fe,cdf5f0c3c39eb168e595a55690b41fa5,Furuseth
